time | workers
21:01:36 | 
21:01:41 | 
21:01:46 | 
21:01:52 | 
21:01:57 | 
21:02:02 | 
21:02:07 | 4
21:02:13 | 4
21:02:18 | 4
21:02:23 | 4
21:02:28 | 8
21:02:34 | 8
21:02:39 | 8
21:02:44 | 8
21:02:49 | 8
21:02:55 | 8
21:03:00 | 8
21:03:06 | 8
21:03:11 | 8
21:03:16 | 8
21:03:22 | 8
21:03:27 | 8
21:03:33 | 8
21:03:38 | 8
21:03:43 | 8
21:03:48 | 8
21:03:53 | 8
21:03:59 | 8
21:04:04 | 8
21:04:09 | 8
21:04:14 | 8
21:04:19 | 8
21:04:24 | 8
21:04:29 | 8
21:04:34 | 8
21:04:39 | 
21:04:44 | 
21:04:49 | 
21:04:55 | 
21:05:00 | 
21:05:05 | 
21:05:10 | 
21:05:16 | 
21:05:22 | 
21:05:27 | 
21:05:32 | 
21:05:37 | 
21:05:42 | 
21:05:48 | 
21:05:53 | 
21:05:58 | 
21:06:03 | 
21:06:08 | 
21:06:13 | 
21:06:19 | 
21:06:24 | 
21:06:29 | 
21:06:34 | 
